Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.549,0.29009,0.37135,0.35843,0.69966,0.06162,0.56453,0.24043,0.34809,1.0338,0.38385,1.28068,1.06337,0.4395,0.27649,0.30323,1.38142,0.26431,0.94597,1.70675,0.59837,0.69428,0.67008,0.55972,0.4892,0.34861,0.19036,0.7557,0.01017,20
0.552,0.29439,0.37609,0.36321,0.70341,0.06158,0.56627,0.24309,0.35285,1.03599,0.38288,1.27843,1.06328,0.4384,0.27801,0.30364,1.38241,0.26527,0.95,1.71354,0.60058,0.69688,0.67228,0.5614,0.49047,0.34938,0.19071,0.75682,0.00999,20
0.555,0.29878,0.38093,0.3681,0.70713,0.06152,0.56797,0.24582,0.35772,1.03811,0.38187,1.27605,1.06318,0.43725,0.27954,0.30402,1.38329,0.26622,0.95403,1.72035,0.60281,0.69948,0.67447,0.56306,0.49171,0.35012,0.19104,0.75783,0.00981,20
0.558,0.30329,0.38589,0.3731,0.71082,0.06146,0.56961,0.24862,0.3627,1.04016,0.38083,1.27353,1.06308,0.43606,0.28106,0.30436,1.38407,0.26717,0.95806,1.72716,0.60506,0.70208,0.67664,0.56469,0.49291,0.35083,0.19134,0.75872,0.00964,20
0.561,0.30791,0.39095,0.37821,0.71448,0.06137,0.5712,0.2515,0.36779,1.04214,0.37974,1.27088,1.06297,0.43483,0.28259,0.30467,1.38474,0.26811,0.9621,1.73398,0.60734,0.70468,0.67878,0.56629,0.49408,0.35151,0.19162,0.75949,0.00946,20
0.564,0.31264,0.39614,0.38345,0.7181,0.06128,0.57272,0.25445,0.37301,1.04403,0.37862,1.26809,1.06285,0.43356,0.28411,0.30494,1.38531,0.26905,0.96613,1.7408,0.60963,0.70728,0.68091,0.56786,0.49521,0.35215,0.19188,0.76015,0.00929,20
0.567,0.3175,0.40144,0.3888,0.72168,0.06116,0.57418,0.25747,0.37834,1.04582,0.37746,1.26516,1.06273,0.43224,0.28563,0.30519,1.38576,0.26997,0.97015,1.74762,0.61195,0.70988,0.68301,0.5694,0.4963,0.35276,0.19211,0.76068,0.00911,20
0.57,0.32247,0.40687,0.39428,0.72521,0.06103,0.57557,0.26056,0.3838,1.04751,0.37626,1.26209,1.06261,0.43087,0.28715,0.30539,1.38609,0.27089,0.97417,1.75443,0.61429,0.71247,0.68508,0.5709,0.49736,0.35333,0.19232,0.76109,0.00894,20
0.573,0.32757,0.41242,0.39988,0.72869,0.06088,0.57688,0.26372,0.38939,1.0491,0.37503,1.25888,1.06248,0.42947,0.28866,0.30556,1.38631,0.2718,0.97817,1.76123,0.61664,0.71505,0.68713,0.57237,0.49838,0.35386,0.1925,0.76138,0.00877,20
0.576,0.3328,0.4181,0.40561,0.7321,0.06072,0.57811,0.26695,0.3951,1.05056,0.37375,1.25553,1.06234,0.42801,0.29017,0.30569,1.3864,0.2727,0.98215,1.76802,0.61902,0.71763,0.68915,0.57379,0.49935,0.35436,0.19265,0.76153,0.00859,20
0.579,0.33816,0.42391,0.41147,0.73545,0.06054,0.57925,0.27024,0.40095,1.0519,0.37244,1.25203,1.0622,0.42652,0.29167,0.30578,1.38637,0.27359,0.98611,1.77478,0.62141,0.7202,0.69114,0.57518,0.50028,0.35481,0.19278,0.76155,0.00842,20
0.582,0.34367,0.42986,0.41747,0.73872,0.06034,0.58031,0.2736,0.40694,1.0531,0.37109,1.24838,1.06205,0.42497,0.29316,0.30583,1.38621,0.27446,0.99005,1.78152,0.62382,0.72275,0.69309,0.57652,0.50116,0.35522,0.19288,0.76144,0.00825,20
0.585,0.34931,0.43594,0.42361,0.74191,0.06012,0.58126,0.27702,0.41307,1.05416,0.3697,1.24459,1.06189,0.42339,0.29464,0.30584,1.38592,0.27533,0.99395,1.78823,0.62624,0.7253,0.695,0.57782,0.502,0.3556,0.19295,0.7612,0.00809,20
