Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.033,0.08651,0.09732,0.09277,0.24776,0.00986,0.05448,0.051,0.09181,0.09575,0.04918,0.13652,1.00765,0.05549,0.04679,0.03036,0.19493,0.12548,0.54237,0.48514,0.32491,0.20623,0.13244,0.08121,0.0585,0.03284,0.01451,0.04862,0.0346,18
0.036,0.08686,0.09826,0.09367,0.24869,0.00744,0.05755,0.05391,0.09272,0.09508,0.05272,0.14875,1.00833,0.05959,0.05091,0.03304,0.21149,0.12952,0.54536,0.518,0.34559,0.22096,0.14267,0.08783,0.06346,0.03568,0.01577,0.05271,0.03457,18
0.039,0.08711,0.09914,0.09455,0.24948,0.00576,0.06079,0.05695,0.09361,0.0946,0.05625,0.16096,1.00902,0.06369,0.05499,0.03571,0.22783,0.13304,0.55007,0.55002,0.36499,0.23514,0.15266,0.09436,0.06838,0.0385,0.01702,0.05678,0.03454,18
0.042,0.0873,0.09999,0.09542,0.25018,0.0046,0.0642,0.06014,0.09448,0.09437,0.05977,0.17314,1.0097,0.06777,0.05903,0.03836,0.24397,0.13612,0.55607,0.58119,0.38319,0.24879,0.16243,0.1008,0.07326,0.04131,0.01826,0.06085,0.03451,18
0.045,0.08744,0.10083,0.09629,0.25083,0.00383,0.06781,0.0635,0.09534,0.09447,0.06327,0.1853,1.01037,0.07184,0.06303,0.04101,0.25991,0.13883,0.563,0.61152,0.40024,0.26194,0.17198,0.10716,0.07811,0.04411,0.0195,0.06491,0.03448,18
0.048,0.08756,0.10168,0.09717,0.25143,0.00333,0.07163,0.06703,0.09622,0.09495,0.06677,0.19743,1.01105,0.0759,0.06699,0.04364,0.27565,0.14123,0.57057,0.64099,0.41621,0.2746,0.1813,0.11343,0.08291,0.0469,0.02074,0.06896,0.03446,18
0.051,0.08766,0.10256,0.09806,0.25202,0.00302,0.07565,0.07075,0.09711,0.09589,0.07026,0.20952,1.01171,0.07995,0.0709,0.04626,0.29118,0.14335,0.57853,0.66961,0.43116,0.28678,0.19041,0.11962,0.08767,0.04967,0.02198,0.073,0.03443,18
0.054,0.08775,0.10346,0.09898,0.25259,0.00287,0.0799,0.07466,0.09801,0.09732,0.07374,0.22159,1.01238,0.08398,0.07477,0.04887,0.30651,0.14525,0.58671,0.69738,0.44512,0.29851,0.19932,0.12572,0.09239,0.05243,0.02321,0.07703,0.0344,18
0.057,0.08783,0.1044,0.09991,0.25314,0.00282,0.08438,0.07877,0.09892,0.09929,0.07721,0.23362,1.01304,0.08801,0.07859,0.05146,0.32165,0.14695,0.59493,0.72432,0.45817,0.30979,0.20801,0.13173,0.09706,0.05517,0.02444,0.08106,0.03438,18
0.06,0.0879,0.10538,0.10088,0.2537,0.00286,0.08911,0.08309,0.09986,0.10184,0.08067,0.24562,1.0137,0.09203,0.08235,0.05404,0.33658,0.14849,0.6031,0.75041,0.47033,0.32064,0.2165,0.13766,0.10169,0.0579,0.02567,0.08507,0.03435,18
0.063,0.08797,0.1064,0.10186,0.25426,0.00297,0.0941,0.08762,0.10081,0.10501,0.08412,0.25758,1.01435,0.09603,0.08606,0.0566,0.35132,0.14989,0.6111,0.77567,0.48166,0.33107,0.22479,0.1435,0.10628,0.06062,0.02689,0.08908,0.03432,18
0.066,0.08803,0.10746,0.10288,0.25481,0.00313,0.09934,0.09238,0.10179,0.1088,0.08757,0.2695,1.015,0.10003,0.08972,0.05915,0.36586,0.15118,0.61889,0.80011,0.4922,0.3411,0.23287,0.14926,0.11081,0.06332,0.02811,0.09308,0.03429,18
0.069,0.0881,0.10858,0.10393,0.25538,0.00333,0.10485,0.09736,0.10279,0.11325,0.091,0.28138,1.01565,0.10401,0.09331,0.06168,0.3802,0.15236,0.62639,0.82373,0.50198,0.35073,0.24076,0.15493,0.1153,0.066,0.02932,0.09708,0.03426,18
0.072,0.08817,0.10975,0.10501,0.25595,0.00357,0.11062,0.10256,0.10382,0.11837,0.09442,0.29322,1.01629,0.10797,0.09685,0.06419,0.39435,0.15345,0.63358,0.84654,0.51106,0.35998,0.24846,0.16051,0.11974,0.06867,0.03053,0.10107,0.03423,18
0.075,0.08824,0.11096,0.10612,0.25653,0.00384,0.11668,0.10799,0.10488,0.12418,0.09783,0.30501,1.01692,0.11193,0.10032,0.06668,0.40831,0.15448,0.64042,0.86855,0.51945,0.36886,0.25596,0.166,0.12413,0.07133,0.03174,0.10505,0.0342,18
0.078,0.08831,0.11223,0.10726,0.25713,0.00414,0.123,0.11365,0.10596,0.13067,0.10123,0.31675,1.01755,0.11587,0.10373,0.06916,0.42207,0.15544,0.6469,0.88977,0.52721,0.37738,0.26327,0.1714,0.12848,0.07396,0.03294,0.10902,0.03416,18
0.081,0.08838,0.11356,0.10844,0.25773,0.00447,0.1296,0.11953,0.10707,0.13786,0.10462,0.32845,1.01818,0.11979,0.10707,0.07162,0.43564,0.15634,0.65301,0.91022,0.53435,0.38554,0.2704,0.17672,0.13277,0.07658,0.03414,0.11299,0.03412,18
0.084,0.08846,0.11494,0.10966,0.25836,0.00483,0.13647,0.12562,0.1082,0.14574,0.108,0.3401,1.0188,0.12371,0.11034,0.07406,0.44901,0.15721,0.65874,0.92989,0.54091,0.39337,0.27734,0.18194,0.137,0.07918,0.03534,0.11695,0.03408,18
0.087,0.08855,0.11637,0.11091,0.259,0.00521,0.14361,0.13192,0.10937,0.15432,0.11137,0.3517,1.01941,0.1276,0.11354,0.07648,0.4622,0.15803,0.6641,0.94881,0.54693,0.40085,0.28409,0.18708,0.14119,0.08176,0.03653,0.1209,0.03404,18
0.09,0.08864,0.11785,0.11221,0.25967,0.00562,0.15101,0.13842,0.11057,0.1636,0.11472,0.36325,1.02002,0.13148,0.11667,0.07888,0.47519,0.15881,0.66909,0.96699,0.55242,0.40802,0.29066,0.19212,0.14532,0.08432,0.03772,0.12485,0.03399,18
0.093,0.08874,0.11938,0.11353,0.26035,0.00605,0.15866,0.14511,0.1118,0.17357,0.11806,0.37474,1.02062,0.13535,0.11973,0.08125,0.488,0.15957,0.67371,0.98444,0.55742,0.41487,0.29706,0.19708,0.1494,0.08687,0.0389,0.12879,0.03394,18
0.096,0.08885,0.12097,0.1149,0.26106,0.00651,0.16654,0.15197,0.11305,0.18422,0.12138,0.38618,1.02122,0.1392,0.12271,0.08361,0.50061,0.1603,0.67797,1.00117,0.56194,0.42141,0.30328,0.20194,0.15342,0.08939,0.04008,0.13272,0.03388,18
0.099,0.08896,0.1226,0.1163,0.2618,0.00699,0.17466,0.159,0.11434,0.19555,0.1247,0.39756,1.02181,0.14303,0.12562,0.08595,0.51304,0.161,0.6819,1.0172,0.56603,0.42766,0.30932,0.20671,0.15739,0.09189,0.04125,0.13665,0.03382,18
0.102,0.08909,0.12428,0.11773,0.26256,0.0075,0.18298,0.16616,0.11565,0.20754,0.12799,0.40888,1.02239,0.14684,0.12845,0.08826,0.52529,0.16168,0.68548,1.03255,0.56969,0.43362,0.31519,0.2114,0.16131,0.09438,0.04242,0.14057,0.03376,18
0.105,0.08923,0.12599,0.1192,0.26334,0.00803,0.19151,0.17345,0.117,0.22019,0.13128,0.42014,1.02297,0.15064,0.13121,0.09055,0.53735,0.16235,0.68875,1.04722,0.57295,0.43929,0.3209,0.21599,0.16516,0.09684,0.04358,0.14449,0.03369,18
0.108,0.08938,0.12775,0.1207,0.26416,0.00858,0.2002,0.18085,0.11837,0.23348,0.13455,0.43134,1.02354,0.15442,0.13388,0.09282,0.54922,0.16299,0.69171,1.06123,0.57583,0.4447,0.32644,0.2205,0.16897,0.09928,0.04474,0.1484,0.03362,18
0.111,0.08953,0.12955,0.12223,0.26501,0.00916,0.20906,0.18834,0.11976,0.24739,0.1378,0.44248,1.02411,0.15818,0.13648,0.09507,0.56092,0.16361,0.69438,1.07461,0.57836,0.44984,0.33181,0.22492,0.17271,0.1017,0.04589,0.1523,0.03354,18
0.114,0.08971,0.13138,0.1238,0.26589,0.00976,0.21805,0.19588,0.12118,0.2619,0.14104,0.45355,1.02467,0.16192,0.13901,0.09729,0.57243,0.16422,0.69677,1.08736,0.58055,0.45472,0.33702,0.22924,0.1764,0.1041,0.04704,0.1562,0.03346,18
